date,all_events,AI Agents & DevTools,AI Infra & Compute,Deep Tech & Hardware,Bio & Health,Fintech & Crypto,GTM & Sales,Fundraising & Investing,"Creator, Media & Consumer",Enterprise & SaaS,Global Founders,Cybersecurity,Climate,People & Hiring,Women-focused
2026-10-05,202,36,19,43,20,24,22,57,39,52,18,10,4,9,13
2026-10-06,393,61,60,80,29,40,53,92,73,116,32,22,7,21,25
2026-10-07,438,81,48,89,35,34,68,109,91,138,44,16,5,21,24
2026-10-08,397,66,38,87,35,39,41,95,90,122,33,13,4,26,13
2026-10-09,161,29,23,31,13,10,24,38,38,44,6,4,1,6,8
2026-10-10,86,17,7,13,10,5,10,21,34,27,2,0,2,3,5
2026-10-11,33,5,5,8,2,1,3,3,10,10,1,0,1,3,1
